"Se fué el erudito Iglesias pero dejó a su banda, basura comunista.","Gijón, London , LA."
"🇬🇧 #RU #UE

#Noticias

🔫 30/01/2023 Ucrania: Ex PM Reino Unido #Johnson dice advirtió a Putin #guerra #Rusia sería ""catástrofe total"" y Putin amenazó al RU con atacarlo con misiles

Llamada antes invasión de Ucrania por Rusia #comunista dictador #Putin 

https://t.co/R5McFIzZmh",NEWS AGENCY-AGENCIA DE PRENSA 
"Mao Zedong se reiría de ti ""comunista"" https://t.co/VjuhZ6m7bE https://t.co/hCFVKJuhwr",they/she
"Que pensaban o de plano nunca pensaron cuando votaron por este vividor de la política, por Boric y su manada de imbeciles comunista? https://t.co/AvaBdILgSP",Mèxico
"@josecarlosvc20 @sigridbazan Fuerza camarada @sigridbazan , usted siga por la revolución comunista y la muerte de más peruanos","Lima, Peru"
@MafeCarrascal Si hace lo que le ordenan desde el foro comunista de São Paulo es la misma receta castrovista de destrucción cubana,"ÜT: 10.491527,-66.853277"
@Valune_ @EduardoIIIChile @biobio Estamos totalmente de acuerdo que no hay comunista pobre!!,
@fernandeznorona Jajaja inche comunista mugroso si lo que menos respetas es a las mujeres por que con los hombres te sientas,
"@GuilleBermejoR Ustedes nunca fueron, ni serán un partido !! Cómo dijo @CesarHildebran4 ustedes son una banda de delincuentes con formación radical comunista para manipular al pueblo a sus intereses!! Manipulan y mienten solo para beneficiarse ustedes como lo hicieron sus modelos de liderazgo!! https://t.co/V1KIU5GSXv",
"@Jma274 Robar las tierras de mi abuelo, eso si es decente para ti, expropiar lo que otro suda , para dárselo a unos vagos resentidos eso es patriotismo para ti, para mi eso es amoral, que sólo rateros hacen, el mejor comunista del mundo debe ser colgado, de un árbol, pobre soga",810 West 80 PL Hialeah FL 
"@jwilliamszapata No pueden ceder ante el chantaje comunista extremista , adelanto de elecciones nos hara terminar como Bolivia quien a la loca saco elecciones y al final Evo y sus comunistas volvieron al poder por que ellos tenian capturados los organos electorales, eso pasara aqui.",Australia
"Sigrid Bazan es una hiena carroñera. busca aprovecharse de las muertes para promover su agenda política comunista. es momento de crear y fortalecer un movimiento llamado NO A SIGRID!!!
. https://t.co/73qKXPqvvG","San isidro, Peru"
"@okdiario Pero que no sea a Latam.

Que se vaya a disfrutar a algún paraíso comunista este hijo de terrorista.",
"@DanteBobadilla Es comunista del hocico para afuera, pero gusta mucho de vivir bien, en lugares de lujo y ganar mucho dinero",
"@NoaGresiva O socialista o comunista, en esa línea.",
@AmericanoMedia Basura comunista,"Houston, TX"
@GuilleBermejoR NADIE QUIERE ESA BASURA DE ASAMBLEA CONSTITUYENTE ASI QUE METETELA POR EL CULO ASNO COMUNISTA Y VETE A CHUPARLE LA PESUÑA A CERRON,
@JaimeColomaT Eres comunista no te gusta la verdad en tu cara tu presidente vale una hectárea de 🍄,
"ESPAÑA SERA"" REPÚBLICA QUE SANCHES JUNTO CON SUS SOCIOS DARÁ EL SALTO CON UNA LEY EXPRESS ESPAÑA REPUBLICA SOCIAL COMUNISTA. FIN DE LA DEMOCRACIA"" FIN DE MEMORIA Y LEYENDA DE FRANCIO Y DEMOLER TODA IDOLATRÍA CATOLICAS. 
¿""TANTO""? TIENE POR HACER SÁNCHEZ CON ESPAÑA.",
"@KarenKoetje @proferemedio ¿Y sabes como distinguir a un comunista de uno que no lo es?
Dividir y ver el mundo en blanco y negro es fácil, distinguirlo en todos sus colores y matices requiere estudios que no tienes.",
"@mgdansky @Reng0o Existe hoy varios PC: el PCR, el PCCE y el PCdeA (Partido Comunista de Argentina) y estamos nosotros el Partido Comunista Argentino que no estamos en el FdT, todo lo contrario. Seguinos en @pcargentino","Morón, Argentina"
